item_id,prefix,continuation
1,An accordion is a portable musical instrument with two,keyboards
2,"One accordion keyboard is used for individual notes, the other for",chords
3,Accordions produce sound with bellows that blow air through,reeds
4,An accordionist plays both keyboards while opening and closing the,bellows
5,An apartment is a self-contained home that is part of a,building
6,"An apartment may have one or more rooms, as well as a kitchen and a",bathroom
7,"Some apartments are for single people, others for",families
8,"The apartment building can have a garage, a laundry facility or extra storage",space
9,"An apple is a fruit that can be green, red or",yellow
10,"Apples have thin skin, a crisp, sweet pulp and seeds",inside
11,Some very tart apples are used to make,cider
12,"Apples can be eaten raw, roasted or baked in",pies
13,Arson is the criminal act of burning a building or,wildland
14,A fire investigation determines if a fire was caused by accident or,arson
15,Arson can be done to cause damage to others or collect,insurance
16,The severity of the arson depends on whether people were,harmed
17,"An automobile, or car, is a wheeled vehicle for transporting",passengers
18,A car can be powered by a gasoline or electric,engine
19,"The driver steers the car on roads, other passengers just",sit
20,"Cars vary in size, number of doors and the type of",trunk
21,The axe is a tool used to split and cut,wood
22,The axe usually consists of a head attached to a,handle
23,"Historically, axe heads were made of stone and then",metal
24,Axes are used by woodcutters and firemen entering,buildings
25,"A banana is a long fruit that grows in bunchs, with a soft edible",inside
26,"A banana when ripe can be yellow, purple or red and have small brown",spots
27,"The greatest producers are tropical countries, such as India or",Ecuador
28,Unripe bananas and plantains are staple foods and often cooked like,potatoes
29,A bed is a piece of furniture used as a place to sleep or have sex,in
30,"A bed is made of a mattress and a box spring, plus sheets, pillows and",covers
31,"In water beds the mattress is filled with water, and in air beds it is filled with",air
32,"Another type of bed is the hammock, a fabric sling suspended above the",ground
33,"A bee is a flying insect, with a black and yellow body and six",legs
34,Bees spread pollen between flowers as they collect nectar to make,honey
35,Bees are social insects and live together in a colony located in a,hive
36,Many bees have stingers and can attack if they feel,threatened
37,A bicycle is a vehicle with two wheels and pedals on a,frame
38,A bicycle is propelled by the pedalling of a cyclist on the,saddle
39,The bicycle wheels have rubber tires with an inner tube full of,air
40,"People use bicycles for transportation, recreation and",racing
41,A blacksmith creates objects by forging iron or,steel
42,A blacksmith hammers and bends hot iron on an anvil to change its,shape
43,Blacksmiths wears a thick apron and handle the metal with,tongs
44,"Blacksmiths make objects like weapons, horse shoes or iron",furniture
45,A blender is a kitchen appliance used to mix ingredients or puree,food
46,Blenders have a glass or plastic container with a rotating blade in the,bottom
47,Blenders are used to make milk shakes and fruit,smoothies
48,Blenders are also used to make cold alcoholic drinks with crushed,ice
49,A boy is a young male child who has not undergone,puberty
50,The term boy is used to indicate sex distinctions relative to,girls
51,Traditionally boys like to play rough games and fight with each,other
52,An adult male behaving immaturely is often referred to as a,boy
53,Broccoli is a plant in the cabbage,family
54,"Broccoli has a green flower head and a thick, tough",stalk
55,"Broccoli is high in vitamins, fiber and other",nutrients
56,"Broccoli can be boiled, stir-fried or eaten",raw
57,A butterfly is a flying insect with four large,wings
58,The wings of butterflies can be very colorful and,patterned
59,Metamorphosis is the transformation of a caterpillar into a,butterfly
60,Some people collect butterflies because of their colorful,wings
61,A carpenter is an artist or manual laborer who works with,wood
62,"Carpenters build and repair houses, furniture, boats and other",objects
63,"Carpenters use tools such as hammers, saws, pliers and",planes
64,A luthier is a carpenter that makes and repairs musical,instruments
65,Cats are small furry animals with four legs and a,tail
66,Cats like to groom themselves by licking their,fur
67,"Cats can hunt mice or birds, but are often fed by their",owners
68,The claws of cats are retractable so that they keep,sharp
69,A chair is a piece of furniture designed for people to sit,on
70,"Chairs consist of a seat raised above floor level, supported by",legs
71,"Chairs can also have back and arm rests, as well as a",cushion
72,Seats are fixed chairs located in vehicles or in places like,cinemas
73,A clarinet is a woodwind musical,instrument
74,A clarinet is a long black tube with a flare at the,bottom
75,The clarinet player chooses notes by pressing keys and,holes
76,The clarinet is used both in jazz and classical,music
77,A cod is a fish that lives in the colder areas of the,Atlantic
78,"Cod flesh is white and mild-tasting, and flakes easily when",cooked
79,"Fresh cod is used for fish and chips, salted cod for elaborate",dishes
80,"Cod has been caught, salted and traded since the time of the",Vikings
81,"Coffee is made from coffee beans, the seeds of the coffee",plant
82,"Coffee is a popular drink in many countries, and usually served",hot
83,Coffee contains a mild drug called caffeine that keeps people,awake
84,Coffee is the world's seventh-largest legal agricultural,export
85,A desert is a natural environment where almost no rain,falls
86,Hot deserts are usually filled with sand dunes or,rocks
87,Some animals and plants have adapted to live in,deserts
88,The biggest hot desert is the Sahara in northern,Africa
89,"A desk is a piece of furniture used for working at, sometimes with a",computer
90,"A desk has a flat surface and can be made of wood, plastic or",metal
91,A desk may have drawers to store supplies and,papers
92,A cubicle consists of a desk surrounded by partitions on three,sides
93,A door is a movable barrier to entrance or exit from an enclosed,area
94,Most doors have locks to control who gets to pass through,them
95,Most doors are opened by pushing or pulling a handle after they are,unlocked
96,Other types of doors can slide or consist of a revolving,chamber
97,A dress is a piece of clothing that women sometimes,wear
98,"A dress is like a shirt attached to a long, matching",skirt
99,"A dress is usually worn at formal occasions, such as a wedding or a",dance
100,It can be hard to climb stairs or ride a bike in a,dress
101,Drunk driving is the act of driving under the effects of,alcohol
102,Drunk driving of any vehicle is a crime in most of the,world
103,Drunk driving plays a role in almost half of all vehicle-related,deaths
104,Drunk drivers are caught by field sobriety and breathing,tests
105,A drought is a persistent shortage of the water supply caused by lack of,rain
106,Drought will cause crops and plants to stop growing and,die
107,Extreme drought will eventually turn areas into desert and cause,famine
108,Large numbers of people have to migrate away from dust bowls during,droughts
109,Eagles are large birds of prey that hunt during the day and have very good,eyesight
110,"Eagles have hooked beaks for tearing flesh, strong legs and sharp",talons
111,Eagles live in eyries and some species eat fish and others small,mammals
112,The bald eagle has a bright white head and is the national bird of the United,States
113,Earthquakes shake the ground and can knock down buildings and other,structures
114,The earthquake shaking can also trigger landslides and volcanic,activity
115,Most earthquakes are caused by the release of energy in the Earth's,crust
116,An earthquake at sea can displace the seabed and cause a,tsunami
117,"Elephants are the largest kind of land mammal, weighing several",tons
118,"An elephant has a long nose called a trunk, which can grab things or",food
119,"The elephant has a pair of ivory tusks, for moving objects or digging into",trees
120,The elephant flaps its large ears to cool the blood in them and its,body
121,The eye is an organ for sensing light and coding it for the visual,cortex
122,"Most animals have complex eyes which can detect color, motion and",texture
123,The fovea is the center of the human eye and the most sensitive part of,it
124,Insects have compound eyes made up of eye units facing in many,directions
125,A farm is land used to grow plants or raise animals for,food
126,Farmers are the people who run the farm and decide what to,produce
127,"Farms usually have a house for farmers, a silo and a",barn
128,A cooperative is a farm where many farmers share the land and,equipment
129,Primates usually have four fingers and a thumb on each,hand
130,"Fingers are used for grasping, writing, grooming and other",activities
131,"The finger tips are sensitive to temperature, pressure and",vibration
132,The nail protects the tip of the finger and can be grown or,decorated
133,A flood is an overflow of an expanse of water that submerges inhabited,land
134,"Flood can be caused by heavy rain or rapid snow melt, as well as earthquakes at",sea
135,In a flood a river will flow out of its channel or break dams and,levees
136,During a flood people evacuate and the contaminated water causes,diseases
137,"A floor is a horizontal surface inside a building, used for walking",on
138,"Floors may be made of bare concrete, tile, linoleum or wooden",floorboards
139,"People often put carpets on a floor, for comfort and to dampen",noise
140,In buildings the floor often has pipes and electrical wiring under,it
141,Feet are body parts at the end of a,legs
142,"People use their feet when walking, running or standing",straight
143,"People also use their feet to kick, in both fighting and",sports
144,Many cultures have rules for behavior related to,feet
145,A forest is an area with a high density of trees and canopy,cover
146,The type of forest depends on temperature and rainfall in its,location
147,"A forest ecosystem has various types of trees and animals, as well as ground",plants
148,Deforestation is the cutting down of forests disregarding,regeneration
149,"A fork is a tool for eating solid foods, with a handle and several",tines
150,"Forks are usually  made of metal, or plastic, if",disposable
151,Forks are used to lift food to the mouth or to hold food in place while,cutting
152,"Forks are used in Western cultures, and there are special kinds for various",foods
153,A frying pan is a small pan with sloping sides and a,handle
154,"A frying pan is used to fry, sear and brown",food
155,The food is cooked on oil covering the bottom of the frying,pan
156,Frying pans are made of iron or teflon-clad,steel
157,A girl is a female human who has not yet reached,maturity
158,At puberty the body of a girl develops into that of a,woman
159,Girls often like playing with dolls and social,games
160,Girls sometimes grow long hair and wear dresses and,skirts
161,A glove is a piece of clothing that covers the hand and,fingers
162,Gloves to protect against cold are made of wool or lined waterproof,material
163,Disposable rubber or latex gloves are used to shield hands from germs or,chemicals
164,A mitten is a kind of glove where the four fingers are covered,together
165,A hammer is a tool used to deliver an impact to an,object
166,A hammer is most often used to drive nails into,wood
167,The claw on the head of the hammer can be used to remove,nails
168,Hammers vary in the shape of the head and handle,length
169,A hand grenade is an explosive used as a weapon against,people
170,Hand grenades are thrown and timed to explode a bit after,that
171,Grenades can also be fired from rifles or shoulder,launchers
172,Tear gas grenades are thrown into the middle of a mob to disperse,it
173,"A horse is a large hoofed mammal with four long, muscular",legs
174,"A horse has a tail and a mane on its neck, and is usually gray or",brown
175,"Horses have been used for draft work, travel and",entertainment
176,"A human can ride a horse while it walks, trots or",gallops
177,People go to hospitals to be healed when they are sick or,injured
178,"Hospitals are staffed by professional physicians, surgeons, and",nurses
179,"Some patients go to hospitals for specialist diagnosis or therapy, leaving the same",day
180,For some operations or treatments patients have to stay at the hospital for several,weeks
181,A house is a permanent building or structure for people or families to live,in
182,"A house has a roof and walls to keep out cold and rain, and windows to let light",in
183,"A house can have rooms for purposes like sleeping, cooking or",washing
184,Most people leave the house to work and come back at night to eat and,sleep
185,An igloo is a type of shelter made from blocks of snow by,Inuit
186,Igloos are built in places where snow covers the land most of the,time
187,"Igloos are often built in the shape of a dome, with an entrance",tunnel
188,"Air pockets in snow insulate the igloo space, and body heat warms",it
189,A knife is a tool with a sharp edge that is used to cut,things
190,"Modern knives consist of a handle and a blade, usually made of",metal
191,Knives have also been used as weapons and instruments in,rituals
192,"A knife can be used to attack by slashing, stabbing or",throwing
193,Lentils are the seeds of a plant of the legume,family
194,"Lentils can be red, green, brown, black or",yellow
195,Lentils are commonly used in Indian and Mediterranean,cuisines
196,Lentils are cooked by boiling and are a great source of,protein
197,Lettuce is a biennial plant often grown in temperate climates as a leaf,vegetable
198,"Lettuce can be eaten cold and raw, in salads and other dishes, or",cooked
199,Lettuce is considered fairly easy to grow and a suitable crop for,beginners
200,"Most lettuce leaves taste bitter, but some are bred to remove the",bitterness
201,"A library is a place where a collection of books, documents and media is",kept
202,Librarians work at libraries and are experts at finding and organizing,information
203,People can go to public libraries and borrow books to take home for several,weeks
204,Academic libraries support scholarly research and have specialized,books
205,A log cabin is a small house built from round,logs
206,Log cabin is a symbol of American frontier life and humble,origins
207,Log cabins were used as first shelters by european,settlers
208,Log cabins were built using logs with notch joints at the,ends
209,A man is a male human,adult
210,A boy becomes a man after passing through,puberty
211,Manhood is associated with masculinity and,virility
212,"A man differs from a woman in height, weight, and body",structure
213,Milk is a white liquid produced by female mammals to feed their,young
214,Newborn animals must be fed milk before they can eat solid,food
215,Dairy products such as cheese and butter are made from,milk
216,Liquid produced from soybeans and coconuts is sometimes called,milk
217,"Mosquitos are thin, small flying insects that emit a high-pitched",sound
218,Mosquitos have mouthparts for piercing the skin of plants and,animals
219,Female mosquitos bite people and animals and suck their blood for,protein
220,"Mosquito bites can spread yellow fever, malaria and other parasite",diseases
221,A mountain is a landform that rises steeply above surrounding,land
222,Mountains rise higher than hills and sometimes have snow at the,top
223,A range of mountains forms due to tectonic plate,collision
224,Mountaineers are people who climb or hike up,mountains
225,The mouth is the face cavity we put food in when we,eat
226,The mouth has teeth to chew food and mix it with,saliva
227,The mouth is also used for kissing and,talking
228,Speech sounds are controlled by tongue placement in the,mouth
229,A mug is a sturdy cup with a handle for drinking hot,liquids
230,"A mug is normally ceramic, but can also be made of metal or",glass
231,A mug is thick and has a ring base for thermal,insulation
232,Mugs can be plain or have drawings imprinted or carved on,them
233,Murder is the unlawful killing of another human being with,intent
234,Murder a serious crime because it deprives the victim of their,existence
235,"Killing in self-defense, accidentally or in war is not considered",murder
236,A convicted murderer is often given a life sentence or the death,penalty
237,Orange juice is a drink made from the liquid in orange,pulp
238,"Orange juice has a sweet, acid taste and contains a lot of vitamin",C
239,Freshly squeezed orange juice often contains pulp as,well
240,Orange juice is often drunk at breakfast from a,glass
241,A parrot is a bird that lives in warm and tropical,regions
242,"Parrots have brightly-colored feathers and a sharp, curved",beak
243,Parrots can imitate the human voice if they hear it,repeatedly
244,The appearance and abilities of parrots makes them popular,pets
245,A peach is an orange-yellow fruit with a characteristic,smell
246,"The skin of a peach is thin and covered in small, fine",hairs
247,"Peaches have a large, red-brown stone inside which contains the",seed
248,"Peaches are sweet and delicate, and must be harvested after",ripening
249,The piano is a popular musical instrument played by means of a,keyboard
250,Pressing a piano key causes a felt-tipped hammer to hit a vibrating steel,string
251,"The piano has an enormous note range, and pedals to change the sound",quality
252,The piano repertoire is large and famous pianists can give solo,concerts
253,"Piranhas are small, ferocious fish that live in South American",rivers
254,Piranhas live and attack in schools and are most active during the,day
255,Piranhas have very sharp teeth and are opportunistic,carnivores
256,"Piranhas eat fish, insects, lizards, mammals and",carrion
257,The raspberry is a fruit that grows in forest clearings or,fields
258,A single raspberry consists of many small fruits joined,together
259,Raspberries are eaten by themselves or cooked with sugar into,jam
260,Leaves of the raspberry are used fresh or dried in herbal,teas
261,A raven is a large black bird that thrives in many,climates
262,"Ravens feed on carrion, insects, berries or small",animals
263,Ravens have large brains and are capable of problem,solving
264,In folklore ravens are birds of ill-omen and also,tricksters
265,A refrigerator is a cooling device used to contain and preserve,food
266,Some refrigerators can have a small compartment at freezing,temperature
267,A refrigerator can have shelves and small compartments for different types of,food
268,A refrigerator is generally white and people often put magnets on its,surface
269,A rifle is a firearm that rests on the shoulder and has a barrel with twisting,grooves
270,The grooves make the bullets spin around the rifle axis as they fly through the,air
271,"Rifles are used in hunting and shooting sports, sometimes with",scopes
272,Assault rifles can fire in bursts and are the standard infantry,weapon
273,Salmon is a fish that migrates from fresh water to the ocean and back to,spawn
274,Salmon flesh is orange or red and has high protein content and a nice,taste
275,"Salmon can be eaten raw in sushi or cooked by grilling, poaching or in other",ways
276,"Salmon is the most common farmed fish, though it can also be caught in the",wild
277,A saw is a tool that uses a hard blade or abrasive wire to cut hard,materials
278,The small sharp points along the cutting side of the saw are called the,teeth
279,"Saws can be worked by hand, or powered by an electric motor or gas",engine
280,"Saws are used extensively in forestry, construction, carpentry and",medicine
281,A scientist studies and produces new knowledge about the physical,world
282,A scientist creates hypotheses and does experiments to test,them
283,"Physics, chemistry and biology are classic examples of",sciences
284,Scientists publish their research in journals and,conferences
285,Scissors are a two-bladed instrument used for,cutting
286,"Scissor blades are usually metallic, with plastic or metal",handles
287,"Depending on the size and format, scissors can cut paper, hair or",fabric
288,Shears are large scissors used for cutting shrubs or pieces of,metal
289,A screwdriver is a tool for inserting and tightening screws into,something
290,Screwdrivers can also be used to remove screws after they are,inserted
291,The screwdriver tip applies the torque from rotating the,handle
292,The two major types of screwdriver are Phillips and,flathead
293,A shark is a large fish with a cartilage,skeleton
294,"Sharks have streamlined bodies, with a large dorsal",fin
295,"Most sharks predate on fish and mammals, with powerful",jaws
296,Sharks have very keen senses and can detect electrical,fields
297,A ship is a large vehicle that floats and travels on,water
298,"A ship can be powered in the ocean by sails, steam, or diesel",engines
299,Ships are used to fish in the ocean and to transport cargo,containers
300,Cruise ships are floating hotels that take people between,cities
301,"A shoe is clothing for the foot, with a sole, an outsole and a",heel
302,"Shoes are usually made of leather, canvas, rubber or",plastic
303,Women's shoes often have high heels and come in many styles and,colors
304,A sneaker is a shoe for sports and athletic,activity
305,A soldier is a member of the national armed forces who fights on,land
306,"A soldier in the militia must wear a uniform, usually",camouflage
307,"In a volunteer army, a soldier is paid for his or her",work
308,A soldier fights using weapons such as rifles and,grenades
309,Spears are weapons that consist of a pole and sharpened head at one,end
310,Spears were the most common personal weapon before the advent of,firearms
311,Spears were used for stabbing or throwing when fighting in,war
312,Some native people still use the spear for hunting and,fishing
313,Spiders are insects with eight legs that make,silk
314,Spiders build webs with silk and use them to catch,insects
315,Spiders use venomous fangs to paralyse their stuck,prey
316,Spiders can be as small as a coin or as big as a,bird
317,"Swamps are low, spongy land subject to frequent",inundation
318,"A swamp is covered with shallow water, mud and",vegetation
319,Swamps are nesting and breeding grounds for birds and,reptiles
320,Farmers often drain swamps to produce fertile arable,land
321,A sweater is a heavy garment worn on the torso for,warmth
322,Sweaters are often knitted from wool but cotton is also,common
323,A sweater that opens down the front is called a,cardigan
324,"Sweaters differ in cut, collar and sleeve shape, as well as",decoration
325,A table is a piece of furniture with a flat surface and,legs
326,There are usually chairs around a table for people to,sit
327,"People set cutlery, plates and food on a table to eat a meal",together
328,Tables are also used as surfaces to work or write,on
329,A television is an appliance with a screen that displays moving,images
330,Televisions are mostly used for watching programs or,films
331,Televisions are used to play videogames when connected to a game,console
332,Television content can be broadcast or received via cable or,internet
333,Theft is the taking of person's property without their,consent
334,Thieves steal to own something or to sell it to,receivers
335,Theft is a crime and can be punishable with jail or,fines
336,Industrial espionage is theft of ideas and intellectual,property
337,A toaster is a kitchen appliance for toasting bread using heating,elements
338,Pop-up toasters toast the bread placed in a slot and eject it once,done
339,"Toaster ovens have a door on the side, a tray within and temperature",control
340,Toaster ovens allow bread to be cooked with toppings like garlic or,cheese
341,"The tomato is a shiny and smooth red fruit, with a savory",taste
342,A tomato softens and changes color from green to red as it gets more,ripe
343,"Tomatos can be used to make salads, soup or ketchup, as well as",sauce
344,"There are many varieties of tomato, with different sizes and",tastes
345,A train is a connected series of cars that moves between stations on a,track
346,"The train is pulled by a locomotive, powered by diesel or",electricity
347,A freight train transports containers of goods or fuel over long,distances
348,Commuter trains transport people between suburbs and stations inside a,city
349,A train station is a place where passengers get on or off a,train
350,Train stations have counters or machines for purchasing,tickets
351,There are waiting rooms and places to eat in a train,station
352,Passengers or cargo enter trains from a train station platform next to the,line
353,A tropical cyclone is a storm formed over warm tropical,sea
354,Cyclones can produce very powerful winds and torrential,rain
355,Tropical cyclone can also cause high waves and coastal,flooding
356,A tropical cyclone can move inland and seriously damage,property
357,The violin is an instrument with four strings that is played with a,bow
358,Violin is the smallest and highest pitched instrument in its,family
359,A violinist holds the instrument between the chin and the,collarbone
360,Different notes are made by fingering the violin neck with one hand while,bowing
361,"Vultures are scavenging birds, feeding mostly on the carcasses of dead",animals
362,Many vultures have a bald head without feathers for losing,heat
363,Vultures use their large wings to soar for miles without,flapping
364,"Vultures seldom attack healthy animals, but may kill the wounded or",sick
365,A wall is a solid structure that defines and sometimes protects an,area
366,"Walls delineate a building, support the roof, and divide the space into",rooms
367,"Walls are usually made of stone, brick, or cement, as well as",drywall
368,"Retaining walls provide a barrier to movement of earth, stone or",water
369,"Water is the most common liquid on Earth, covering 70% of its",area
370,"Plants, animals and people must drink water in order to",live
371,Water freezes at a low temperature and becomes solid,ice
372,"Rain is water that falls from clouds in the sky, which are condensed",vapor
373,A whale is a very large mammal that lives in the,ocean
374,Whales breathe through blowholes on their heads when,surfacing
375,The blubber in a whale serves as an energy reservoir and as,insulation
376,"Whales have been hunted for meat, whale oil and",ambergris
377,A window is a transparent opening in a wall to let light,through
378,A typical window is made of sheets of glass held in place by,frames
379,"When open, a window will also let air and sound",through
380,Some windows have multiple panes to increase insulation,inside
381,A woman is a female human,adult
382,A woman is stereotypically seen as a,caregiver
383,A woman can become pregnant and bear,children
384,A woman has different reproductive organs than a,man
