item_id,prefix,good_continuation,bad_continuation,category,good_human_score,bad_human_score
1,The actor won the,award,battle,event_plausibility,5.8,2.6
2,The anchorman told the,news,parable,event_plausibility,6.75,3.0
3,The animal found the,food,map,event_plausibility,5.85,2.0
4,The ant stacked the,supply,suitcase,event_plausibility,4.4,1.95
5,The archeologist examined the,epigraph,dog,event_plausibility,5.5,1.6
6,The archer released the,arrow,interview,event_plausibility,6.6,2.5
7,The artist assembled the,art,tent,event_plausibility,6.35,2.0
8,The artist hung the,picture,motorcycle,event_plausibility,5.5,1.95
9,The assistant helped the,cook,soldier,event_plausibility,5.25,2.8
10,The astronaut reached the,moon,baker,event_plausibility,5.4,2.35
11,The astronaut touched the,ground,guitar,event_plausibility,4.8,2.0
12,The athlete celebrated the,victory,marriage,event_plausibility,6.65,3.1
13,The athlete started the,match,vacuum,event_plausibility,4.15,3.45
14,The athlete won the,cup,toy,event_plausibility,5.15,3.15
15,The author signed the,book,check,event_plausibility,6.15,3.4
16,The baker gathered the,bread,soldier,event_plausibility,6.3,1.0
17,The baker sold the,bread,stroller,event_plausibility,6.45,2.05
18,The bank assigned the,code,book,event_plausibility,6.15,2.1
19,The barber cut the,hair,cake,event_plausibility,6.65,2.1
20,The barber used the,razor,microscope,event_plausibility,6.55,1.2
21,The bartender handed the,drink,lancet,event_plausibility,6.55,1.4
22,The bartender shook the,drink,flag,event_plausibility,6.25,2.05
23,The beautician spread the,cream,paint,event_plausibility,5.2,2.9
24,The biker started the,motorcycle,lesson,event_plausibility,6.15,3.4
25,The biker wore the,helmet,swimsuit,event_plausibility,6.8,2.1
26,The billionaire donated the,money,book,event_plausibility,6.2,4.15
27,The binman collected the,trash,flower,event_plausibility,5.35,3.05
28,The biologist used the,microscope,razor,event_plausibility,6.7,3.3
29,The blacksmith poured the,metal,wine,event_plausibility,6.5,1.6
30,The bodybuilder lifted the,weight,flag,event_plausibility,6.45,3.1
31,The boss assigned the,job,medal,event_plausibility,6.75,3.0
32,The boss promised the,promotion,heaven,event_plausibility,5.95,2.25
33,The botanist examined the,plant,tire,event_plausibility,6.55,3.0
34,The boxer delivered the,punch,drink,event_plausibility,6.15,2.2
35,The breeder sold the,dog,cigarette,event_plausibility,6.25,1.9
36,The burglar climbed the,wall,rock,event_plausibility,6.05,2.75
37,The businessman read the,report,fable,event_plausibility,6.45,2.35
38,The businessman tied the,necktie,prisoner,event_plausibility,6.5,1.45
39,The businessman wore the,tie,uniform,event_plausibility,6.55,4.15
40,The butcher carved the,meat,stone,event_plausibility,5.75,2.3
41,The butcher cut the,meat,tree,event_plausibility,6.75,1.8
42,The butcher sold the,meat,weapon,event_plausibility,6.95,1.6
43,The butcher used the,knife,camera,event_plausibility,6.35,2.05
44,The cameraman recorded the,video,sale,event_plausibility,6.85,2.45
45,The candidate celebrated the,victory,holiday,event_plausibility,5.9,5.0
46,The carpenter fixed the,chair,shoe,event_plausibility,5.55,1.2
47,The carpenter flipped the,board,hair,event_plausibility,6.35,3.1
48,The carpenter grabbed the,board,ball,event_plausibility,5.85,1.25
49,The carver built the,sculpture,house,event_plausibility,6.05,2.9
50,The cat chased the,bird,kite,event_plausibility,5.85,3.9
51,The cat drank the,milk,coffee,event_plausibility,5.6,1.45
52,The champion held the,cup,guitar,event_plausibility,6.4,2.95
53,The chauffeur carried the,passenger,rifle,event_plausibility,6.65,2.1
54,The cheerleader carried the,flag,rifle,event_plausibility,5.2,2.2
55,The cheerleader performed the,dance,spell,event_plausibility,5.75,1.65
56,The cheerleader shook the,flag,drink,event_plausibility,5.15,2.75
57,The chemist mixed the,substance,music,event_plausibility,6.85,1.35
58,The chemist poured the,compound,juice,event_plausibility,6.25,2.75
59,The chemist sold the,drug,dog,event_plausibility,4.45,1.9
60,The child ate the,candy,bone,event_plausibility,6.35,2.85
61,The child built the,snowman,sculpture,event_plausibility,6.15,3.95
62,The child celebrated the,birthday,victory,event_plausibility,6.45,5.05
63,The child chased the,toy,thief,event_plausibility,6.1,2.05
64,The child climbed the,tree,mountain,event_plausibility,5.2,3.2
65,The child crossed the,park,river,event_plausibility,5.55,3.5
66,The child cut the,paper,tree,event_plausibility,5.35,1.75
67,The child drank the,coke,beer,event_plausibility,4.65,2.0
68,The child drew the,flower,horse,event_plausibility,4.95,5.65
69,The child enjoyed the,ride,lecture,event_plausibility,6.7,2.85
70,The child found the,doll,corpse,event_plausibility,5.65,1.45
71,The child grabbed the,frisbee,tyre,event_plausibility,4.95,2.3
72,The child lent the,pen,car,event_plausibility,4.45,1.45
73,The child opened the,present,congress,event_plausibility,6.7,1.5
74,The child picked the,flower,investment,event_plausibility,5.4,1.65
75,The child rode the,bus,bull,event_plausibility,5.3,2.0
76,The child threw the,ball,bottle,event_plausibility,6.35,4.2
77,The child threw the,snowball,spear,event_plausibility,5.95,1.6
78,The child told the,lie,verdict,event_plausibility,5.95,2.05
79,The child visited the,grandmother,president,event_plausibility,5.95,3.05
80,The child visited the,zoo,prisoner,event_plausibility,6.3,2.0
81,The child wrote the,conjugation,diagnosis,event_plausibility,3.95,1.05
82,The climber climbed the,rock,staircase,event_plausibility,6.8,5.6
83,The climber faced the,wall,ocean,event_plausibility,5.5,2.35
84,The climber used the,rope,blackboard,event_plausibility,6.85,1.8
85,The coach checked the,team,car,event_plausibility,6.95,2.45
86,The cobbler fixed the,shoe,phone,event_plausibility,6.25,1.55
87,The cobbler sewed the,shoe,parachute,event_plausibility,6.6,1.6
88,The collector donated the,painting,blood,event_plausibility,3.7,3.4
89,The comedian entertained the,audience,soldier,event_plausibility,6.35,4.3
90,The confectioner decorated the,cake,tree,event_plausibility,6.05,2.9
91,The confectioner spread the,icing,cement,event_plausibility,6.35,1.2
92,The cook bought the,food,ticket,event_plausibility,5.1,3.0
93,The cook checked the,groceries,tire,event_plausibility,6.2,1.9
94,The cook cleaned the,fish,window,event_plausibility,6.1,2.3
95,The cook cut the,fish,grass,event_plausibility,5.75,3.35
96,The cook flipped the,pancake,hair,event_plausibility,6.3,2.5
97,The cook mixed the,ingredient,paint,event_plausibility,6.15,1.9
98,The cowboy enjoyed the,ride,snack,event_plausibility,5.6,4.8
99,The cowboy rode the,bull,bike,event_plausibility,5.7,3.25
100,The crew loaded the,container,stroller,event_plausibility,5.2,3.4
101,The customer read the,menu,music,event_plausibility,5.45,2.6
102,The cyclist completed the,race,project,event_plausibility,6.25,2.7
103,The cyclist fixed the,bike,hair,event_plausibility,6.1,2.5
104,The cyclist rode the,bike,skates,event_plausibility,6.5,2.1
105,The dealer checked the,car,net,event_plausibility,5.9,2.95
106,The dealer examined the,car,plant,event_plausibility,6.4,2.35
107,The dealer sold the,car,meat,event_plausibility,6.7,3.9
108,The deejay mixed the,music,ingredient,event_plausibility,6.65,2.1
109,The demonstrator carried the,flag,ball,event_plausibility,5.85,3.45
110,The demonstrator signed the,petition,shirt,event_plausibility,5.25,2.1
111,The demonstrator threw the,stone,frisbee,event_plausibility,3.5,2.05
112,The diplomat carried the,message,dog,event_plausibility,5.65,3.0
113,The doctor helped the,woman,cook,event_plausibility,6.1,2.05
114,The doctor offered the,support,breakfast,event_plausibility,6.0,2.15
115,The doctor sewed the,wound,shoe,event_plausibility,5.65,1.6
116,The doctor used the,stethoscope,shovel,event_plausibility,5.85,2.9
117,The doctor visited the,patient,museum,event_plausibility,6.05,2.95
118,The doctor wrote the,diagnosis,conjugation,event_plausibility,6.8,3.05
119,The dog ate the,bone,plant,event_plausibility,6.25,4.3
120,The dog carried the,ball,flag,event_plausibility,6.0,1.45
121,The dog caught the,ball,wave,event_plausibility,5.65,2.35
122,The dog chased the,ball,tank,event_plausibility,6.5,2.25
123,The dog dug the,hole,grave,event_plausibility,6.5,2.6
124,The dog fetched the,ball,tray,event_plausibility,5.5,3.2
125,The dog pulled the,sled,trigger,event_plausibility,5.05,2.8
126,The driver heard the,horn,baby,event_plausibility,5.75,3.25
127,The electrician checked the,device,rifle,event_plausibility,5.35,1.9
128,The employee passed the,report,rifle,event_plausibility,5.4,1.8
129,The employer offered the,job,candy,event_plausibility,6.65,2.85
130,The engineer completed the,project,painting,event_plausibility,6.25,1.85
131,The engineer drew the,turbine,flower,event_plausibility,5.4,2.1
132,The farmer picked the,vegetable,killer,event_plausibility,5.8,1.55
133,The farmer plowed the,field,sand,event_plausibility,6.8,4.1
134,The farmer sold the,corn,drug,event_plausibility,6.25,1.45
135,The farmer sprayed the,pesticide,cream,event_plausibility,6.7,2.15
136,The farmer used the,shovel,computer,event_plausibility,5.95,2.55
137,The fighter kicked the,opponent,television,event_plausibility,5.55,2.6
138,The firefighter fought the,fire,crime,event_plausibility,7.0,2.05
139,The fisherman caught the,fish,ball,event_plausibility,6.45,2.2
140,The fisherman checked the,net,car,event_plausibility,6.15,1.75
141,The fisherman sold the,fish,drug,event_plausibility,6.45,1.55
142,The florist sold the,flower,bike,event_plausibility,6.15,1.4
143,The footballer chased the,ball,toy,event_plausibility,5.75,2.7
144,The footballer delivered the,kick,lecture,event_plausibility,5.9,3.2
145,The footballer hit the,ball,car,event_plausibility,6.05,2.3
146,The footballer kicked the,ball,vase,event_plausibility,6.6,1.35
147,The footballer passed the,ball,knife,event_plausibility,6.75,1.55
148,The gardener cut the,grass,fish,event_plausibility,6.5,1.45
149,The gardener decorated the,garden,book,event_plausibility,6.3,2.05
150,The gardener gathered the,grass,flag,event_plausibility,5.65,1.9
151,The gardener pushed the,mower,demonstrator,event_plausibility,5.65,2.6
152,The general gathered the,soldier,bread,event_plausibility,5.9,1.85
153,The general sent the,soldier,postcard,event_plausibility,6.8,3.2
154,The general won the,battle,toy,event_plausibility,6.1,1.55
155,The goalkeeper caught the,ball,fish,event_plausibility,6.0,1.65
156,The goalkeeper grabbed the,ball,phone,event_plausibility,5.6,2.65
157,The goalkeeper held the,ball,child,event_plausibility,6.7,2.7
158,The goalkeeper threw the,ball,bomb,event_plausibility,6.15,1.05
159,The government offered the,protection,drink,event_plausibility,5.7,1.5
160,The grandfather told the,story,strategy,event_plausibility,6.55,4.15
161,The guard opened the,jail,present,event_plausibility,6.5,2.05
162,The guard tied the,prisoner,roast,event_plausibility,4.8,2.5
163,The guest held the,drink,camera,event_plausibility,5.3,3.55
164,The guest hung the,coat,laundry,event_plausibility,5.2,3.9
165,The guide described the,monument,software,event_plausibility,5.9,3.8
166,The hairstylist fixed the,hair,bike,event_plausibility,6.85,1.25
167,The hairstylist flipped the,hair,board,event_plausibility,6.35,1.9
168,The hairstylist sprayed the,foam,pesticide,event_plausibility,5.95,1.25
169,The hairstylist washed the,hair,infant,event_plausibility,6.15,2.85
170,The hiker faced the,mountain,camera,event_plausibility,6.15,3.95
171,The horse drew the,carriage,trailer,event_plausibility,4.05,2.7
172,The horse moved the,cart,suitcase,event_plausibility,4.3,1.4
173,The horse pulled the,cart,suitcase,event_plausibility,4.95,1.55
174,The hostess explained the,procedure,poem,event_plausibility,4.1,1.75
175,The hound fetched the,bird,money,event_plausibility,5.05,2.85
176,The housemaid cleaned the,dish,fish,event_plausibility,5.7,3.9
177,The housemaid cleaned the,window,street,event_plausibility,6.65,2.9
178,The housemaid mopped the,floor,barracks,event_plausibility,6.7,3.2
179,The housemaid washed the,floor,boat,event_plausibility,6.8,4.0
180,The housewife cleaned the,table,shoe,event_plausibility,6.3,5.45
181,The illusionist performed the,trick,surgery,event_plausibility,5.05,1.5
182,The illustrator decorated the,book,garden,event_plausibility,6.3,3.0
183,The illustrator drew the,picture,carriage,event_plausibility,6.3,5.15
184,The investor rented the,land,bicycle,event_plausibility,4.05,2.35
185,The jockey rode the,horse,wave,event_plausibility,6.2,1.6
186,The journalist carried the,article,milk,event_plausibility,6.15,1.6
187,The journalist wrote the,article,song,event_plausibility,6.85,1.9
188,The killer pulled the,trigger,cart,event_plausibility,6.6,2.5
189,The knight held the,sword,camera,event_plausibility,6.5,2.0
190,The librarian climbed the,ladder,tree,event_plausibility,5.1,1.8
191,The librarian stacked the,book,supply,event_plausibility,6.5,3.85
192,The lumberjack cut the,tree,meat,event_plausibility,6.55,3.3
193,The lumberjack stacked the,wood,book,event_plausibility,6.75,2.2
194,The lumberjack used the,saw,lancet,event_plausibility,6.15,2.75
195,The magician read the,hand,newspaper,event_plausibility,4.4,4.0
196,The manager rented the,room,kayak,event_plausibility,3.65,2.75
197,The mason built the,house,snowman,event_plausibility,6.45,2.3
198,The mason fixed the,roof,bike,event_plausibility,4.15,1.55
199,The mason fixed the,wall,tire,event_plausibility,6.15,3.25
200,The mason mixed the,cement,soup,event_plausibility,6.65,1.95
201,The mechanic assembled the,bicycle,art,event_plausibility,4.5,1.7
202,The mechanic checked the,tire,groceries,event_plausibility,6.7,2.3
203,The mechanic fixed the,tire,roof,event_plausibility,6.45,2.1
204,The mechanic rented the,truck,boat,event_plausibility,4.2,2.35
205,The mechanic spread the,coating,chocolate,event_plausibility,3.65,1.65
206,The milkman carried the,bottle,flag,event_plausibility,6.7,2.6
207,The model faced the,camera,mountain,event_plausibility,6.9,2.75
208,The monkey grabbed the,banana,board,event_plausibility,6.15,2.15
209,The mother decorated the,house,car,event_plausibility,6.45,2.7
210,The mother held the,child,flag,event_plausibility,6.9,3.2
211,The mother hung the,laundry,rifle,event_plausibility,5.8,2.35
212,The mother prepared the,food,gun,event_plausibility,6.4,3.05
213,The mother pushed the,stroller,can,event_plausibility,6.1,3.8
214,The mover moved the,furniture,horse,event_plausibility,4.9,2.85
215,The musician entertained the,crowd,demonstrator,event_plausibility,6.4,4.2
216,The musician held the,guitar,stone,event_plausibility,6.55,1.6
217,The musician played the,song,soccer,event_plausibility,6.35,1.95
218,The musician read the,music,menu,event_plausibility,6.35,2.45
219,The musician touched the,instrument,base,event_plausibility,6.4,3.95
220,The nanny heard the,baby,speech,event_plausibility,6.35,3.2
221,The nanny watched the,child,landscape,event_plausibility,6.35,4.05
222,The nurse handed the,lancet,hose,event_plausibility,5.8,2.35
223,The nurse pushed the,wheelchair,mower,event_plausibility,5.9,1.45
224,The nurse washed the,infant,car,event_plausibility,6.45,2.45
225,The painter completed the,painting,race,event_plausibility,6.35,2.0
226,The painter decorated the,wall,cake,event_plausibility,6.6,2.6
227,The painter mixed the,paint,drink,event_plausibility,6.35,2.8
228,The painter painted the,picture,toenail,event_plausibility,6.7,2.45
229,The painter signed the,paint,agreement,event_plausibility,5.9,3.65
230,The parent gave the,present,gun,event_plausibility,5.7,1.85
231,The passenger bought the,ticket,table,event_plausibility,6.5,2.25
232,The passenger passed the,check,ball,event_plausibility,3.75,2.05
233,The passenger pulled the,suitcase,corpse,event_plausibility,5.6,1.45
234,The patient fought the,cancer,fire,event_plausibility,5.65,1.95
235,The patient reported the,symptom,crime,event_plausibility,6.7,2.25
236,The philologist examined the,book,camera,event_plausibility,6.2,2.3
237,The photographer captured the,image,thief,event_plausibility,6.95,1.75
238,The photographer examined the,camera,dog,event_plausibility,6.7,1.75
239,The photographer prepared the,camera,food,event_plausibility,6.4,2.7
240,The photographer used the,camera,stethoscope,event_plausibility,6.65,1.75
241,The pilot began the,race,performance,event_plausibility,4.8,2.4
242,The pilot started the,race,concert,event_plausibility,2.95,1.6
243,The pilot won the,race,lottery,event_plausibility,4.8,2.8
244,The player began the,match,class,event_plausibility,5.7,3.3
245,The player enjoyed the,game,beer,event_plausibility,6.65,4.5
246,The player gained the,ball,degree,event_plausibility,5.45,3.2
247,The player gathered the,ball,grass,event_plausibility,5.55,2.4
248,The player passed the,ball,exam,event_plausibility,6.4,4.45
249,The player reached the,goal,moon,event_plausibility,6.45,1.6
250,The player touched the,base,flower,event_plausibility,5.5,1.7
252,The policeman captured the,thief,image,event_plausibility,6.8,2.9
253,The policeman checked the,bag,groceries,event_plausibility,5.55,2.0
254,The policeman examined the,car,patient,event_plausibility,5.95,2.0
255,The policeman fought the,crime,obesity,event_plausibility,6.4,2.35
256,The policeman hit the,demonstrator,ball,event_plausibility,4.75,2.7
257,The policeman pushed the,demonstrator,stroller,event_plausibility,4.6,2.6
258,The politician signed the,agreement,paint,event_plausibility,6.35,2.25
259,The porter carried the,bag,flag,event_plausibility,5.1,2.65
260,The porter loaded the,luggage,file,event_plausibility,6.5,2.8
261,The porter stacked the,suitcase,wood,event_plausibility,5.5,4.0
262,The postman delivered the,mail,punch,event_plausibility,6.55,2.7
263,The president delivered the,speech,kick,event_plausibility,6.8,2.9
264,The president gave the,speech,book,event_plausibility,6.8,3.75
265,The president promised the,reform,bicycle,event_plausibility,6.2,2.25
266,The president visited the,school,grandmother,event_plausibility,4.25,4.45
267,The priest celebrated the,marriage,graduation,event_plausibility,6.5,3.85
268,The priest promised the,salvation,promotion,event_plausibility,6.05,2.2
269,The priest taught the,bible,chemistry,event_plausibility,6.8,1.85
270,The producer released the,film,prisoner,event_plausibility,6.3,1.6
271,The professor delivered the,lecture,kick,event_plausibility,6.6,1.65
272,The professor donated the,book,organ,event_plausibility,4.8,2.35
273,The professor opened the,congress,jail,event_plausibility,3.0,1.2
274,The professor taught the,language,karate,event_plausibility,6.0,3.25
275,The professor wore the,tie,goggles,event_plausibility,5.95,4.7
276,The professor wrote the,book,magazine,event_plausibility,5.5,3.6
277,The programmer described the,software,monument,event_plausibility,5.55,2.95
278,The programmer loaded the,file,ammunition,event_plausibility,6.65,1.75
279,The programmer used the,computer,shovel,event_plausibility,7.0,3.15
280,The pupil drew the,flower,turbine,event_plausibility,4.85,2.95
281,The pusher sold the,drug,chocolate,event_plausibility,5.85,3.0
282,The pyromaniac started the,fire,computer,event_plausibility,6.2,1.8
283,The receiver caught the,baseball,wave,event_plausibility,4.75,2.05
284,The referee moved the,ball,furniture,event_plausibility,5.05,1.7
285,The refugee found the,shelter,doll,event_plausibility,6.0,3.15
286,The reporter brought the,news,cake,event_plausibility,6.8,1.85
287,The reporter held the,camera,knife,event_plausibility,4.5,1.85
288,The roofer climbed the,ladder,rock,event_plausibility,6.6,2.15
289,The sailor faced the,ocean,wall,event_plausibility,6.75,2.1
290,The sailor mopped the,deck,classroom,event_plausibility,4.6,3.2
291,The sailor tied the,rope,necktie,event_plausibility,6.25,3.5
292,The salesperson sent the,questionnaire,gun,event_plausibility,3.45,2.3
293,The scientist reported the,finding,marriage,event_plausibility,6.4,1.65
294,The scoutmaster assembled the,tent,sailboat,event_plausibility,4.7,4.25
295,The sculptor carved the,stone,meat,event_plausibility,5.55,2.45
296,The sculptor taught the,art,skydiving,event_plausibility,5.85,1.15
298,The sergeant assigned the,mission,homework,event_plausibility,6.6,2.3
299,The singer began the,performance,race,event_plausibility,6.5,3.4
300,The singer held the,microphone,sword,event_plausibility,6.55,1.5
301,The singer performed the,music,trick,event_plausibility,6.7,2.0
302,The singer recorded the,song,recipe,event_plausibility,6.8,1.65
303,The singer started the,concert,videogame,event_plausibility,5.4,3.2
304,The skater rode the,skates,bus,event_plausibility,6.25,3.9
305,The skier gained the,speed,ball,event_plausibility,6.75,2.05
306,The skipper assembled the,sailboat,bicycle,event_plausibility,3.8,2.15
307,The smuggler sold the,weapon,flower,event_plausibility,6.5,2.4
308,The snowboarder flipped the,board,bike,event_plausibility,6.6,3.45
309,The soldier carried the,rifle,ball,event_plausibility,7.0,1.7
310,The soldier celebrated the,victory,graduation,event_plausibility,5.2,3.9
311,The soldier checked the,rifle,burner,event_plausibility,6.85,2.2
312,The soldier crossed the,river,stage,event_plausibility,4.5,2.45
313,The soldier dug the,trench,pool,event_plausibility,5.15,2.5
314,The soldier fought the,enemy,cancer,event_plausibility,5.95,3.1
315,The soldier gathered the,ammunition,ball,event_plausibility,6.25,1.75
316,The soldier gathered the,flag,grass,event_plausibility,4.7,2.75
317,The soldier heard the,command,poem,event_plausibility,6.1,3.1
318,The soldier held the,flag,comb,event_plausibility,5.2,3.65
319,The soldier hung the,rifle,picture,event_plausibility,5.8,3.2
320,The soldier reached the,trench,supermarket,event_plausibility,6.25,3.0
321,The soldier released the,prisoner,film,event_plausibility,4.3,1.9
322,The soldier threw the,bomb,ball,event_plausibility,5.55,2.3
323,The soldier used the,knife,brush,event_plausibility,5.05,3.8
324,The soldier wore the,helmet,jeans,event_plausibility,6.5,3.85
325,The soldier wore the,uniform,pajamas,event_plausibility,6.9,3.5
326,The speaker entertained the,audience,dog,event_plausibility,5.9,3.15
327,The spectator bought the,ticket,car,event_plausibility,6.45,2.8
328,The spectator enjoyed the,game,breakfast,event_plausibility,6.05,4.25
329,The spectator heard the,speech,horn,event_plausibility,4.4,4.75
330,The spectator watched the,game,bird,event_plausibility,6.6,5.25
331,The speleologist examined the,cave,book,event_plausibility,6.0,3.65
332,The spy passed the,information,frisbee,event_plausibility,6.35,1.55
333,The student began the,trip,match,event_plausibility,3.5,3.5
334,The student celebrated the,graduation,marriage,event_plausibility,6.7,3.45
335,The student completed the,project,marathon,event_plausibility,5.9,3.65
336,The student drank the,beer,gasoline,event_plausibility,4.6,1.6
337,The student drank the,coffee,milk,event_plausibility,4.95,4.9
338,The student enjoyed the,beer,marriage,event_plausibility,4.7,3.6
339,The student heard the,lecture,command,event_plausibility,6.75,4.45
340,The student passed the,exam,river,event_plausibility,6.35,2.95
341,The student read the,book,hand,event_plausibility,6.6,2.4
342,The student sent the,email,bomb,event_plausibility,6.1,1.2
343,The student threw the,frisbee,garbage,event_plausibility,4.7,3.25
344,The student used the,computer,saw,event_plausibility,6.35,2.9
345,The student wore the,glasses,armor,event_plausibility,5.775,3.05
346,The surfer caught the,wave,baseball,event_plausibility,7.0,1.75
347,The surfer flipped the,board,pancake,event_plausibility,5.0,2.55
348,The surfer grabbed the,board,frisbee,event_plausibility,5.3,3.45
349,The surfer rode the,wave,camel,event_plausibility,6.2,1.45
350,The surfer wore the,sunglasses,tie,event_plausibility,5.95,2.0
351,The surfer wore the,swimsuit,tuxedo,event_plausibility,6.25,2.1
352,The surgeon examined the,patient,car,event_plausibility,6.05,1.2
353,The surgeon performed the,surgery,dance,event_plausibility,6.85,2.4
354,The surgeon used the,lancet,rifle,event_plausibility,4.95,1.9
355,The sweeper cleaned the,street,window,event_plausibility,6.5,3.9
356,The swimmer wore the,goggles,cloak,event_plausibility,6.2,3.1
357,The tailor sewed the,dress,wound,event_plausibility,6.55,1.6
358,The teacher explained the,exercise,tactic,event_plausibility,6.9,4.55
359,The teacher gave the,homework,drug,event_plausibility,6.85,1.4
360,The teacher helped the,child,patient,event_plausibility,6.1,1.95
361,The teacher lent the,book,gun,event_plausibility,6.15,1.85
362,The teacher used the,blackboard,knife,event_plausibility,5.95,2.85
363,The teenager heard the,music,lecture,event_plausibility,6.4,4.65
364,The terrorist released the,hostage,book,event_plausibility,3.45,1.8
365,The thief grabbed the,money,banana,event_plausibility,5.0,3.7
366,The tourist read the,map,bible,event_plausibility,6.4,3.0
367,The tourist rode the,camel,skates,event_plausibility,4.55,3.7
368,The tourist visited the,museum,patient,event_plausibility,5.95,3.0
369,The traveller checked the,bag,groceries,event_plausibility,6.0,4.2
370,The traveller checked the,watch,team,event_plausibility,4.4,3.0
371,The traveller handed the,bag,screwdriver,event_plausibility,5.8,2.1
372,The truck hit the,car,bag,event_plausibility,4.0,3.1
373,The truck plowed the,snow,garden,event_plausibility,4.65,2.3
374,The undertaker dug the,grave,trench,event_plausibility,4.15,3.2
375,The usurer lent the,money,toy,event_plausibility,5.2,1.9
376,The vandal sprayed the,paint,perfume,event_plausibility,6.2,1.85
377,The veterinarian examined the,dog,plant,event_plausibility,6.85,2.2
378,The violinist played the,violin,trumpet,event_plausibility,6.9,3.0
379,The violinist wore the,tuxedo,helmet,event_plausibility,5.9,3.05
380,The volunteer brought the,food,hatchet,event_plausibility,6.1,1.75
381,The waiter brought the,glass,guitar,event_plausibility,6.8,1.55
382,The waiter carried the,tray,rifle,event_plausibility,6.35,1.55
383,The waiter cleared the,bar,road,event_plausibility,6.05,2.9
384,The waiter cleared the,table,tube,event_plausibility,6.25,2.6
385,The waiter cut the,cake,hair,event_plausibility,4.85,1.45
386,The waiter delivered the,drink,speech,event_plausibility,6.35,1.6
387,The waiter fetched the,water,ball,event_plausibility,6.2,1.85
388,The waiter held the,bottle,flag,event_plausibility,6.15,3.5
389,The waiter mixed the,drink,cement,event_plausibility,5.4,1.5
390,The waiter opened the,bottle,sarcophagus,event_plausibility,6.25,1.35
391,The waiter poured the,wine,gasoline,event_plausibility,6.6,1.4
392,The waiter prepared the,drink,bomb,event_plausibility,6.4,1.1
393,The witness explained the,circumstances,equation,event_plausibility,5.6,1.8
394,The witness reported the,crime,birth,event_plausibility,6.4,2.4
395,The woman carried the,bag,stone,event_plausibility,6.25,3.1
396,The woman opened the,bag,manhole,event_plausibility,6.45,2.4
397,The woman painted the,toenail,sign,event_plausibility,6.1,3.55
