ID,Grammatical_1,Ungrammatical_1,Grammatical_2,Ungrammatical_2,Notes,Extension_1,Extension_2
1,我很喜欢一位唱歌好听的明星。,我很喜欢一首唱歌好听的明星。,我很喜欢一首令人流泪的歌。,我很喜欢一位令人流泪的歌。,的歌,我很喜欢一首唱歌好听的明星的歌。,我很喜欢一位唱歌好听的明星的歌。
2,她开车去了一家很受大家欢迎的饭店。,她开车去了一座很受大家欢迎的饭店。,她开车去了一座很受大家欢迎的山。,她开车去了一家很受大家欢迎的山。,旁边的山,她开车去了一座很受大家欢迎的饭店旁边的山。,她开车去了一家很受大家欢迎的饭店旁边的山。
3,他有一双被我穿坏了的手套。,他有一枚被我穿坏了的手套。,他有一枚被我穿坏了的纽扣。,他有一双被我穿坏了的纽扣。,的纽扣,他有一枚被我穿坏了的手套的纽扣。,他有一双被我穿坏了的手套的纽扣。
4,店长拿着一只很久没吃饭了的兔子。,店长拿着一根很久没吃饭了的兔子。,店长拿着一根刚成熟的胡萝卜。,店长拿着一只刚成熟的胡萝卜。,的胡萝卜,店长拿着一根很久没吃饭了的兔子的胡萝卜。,店长拿着一只很久没吃饭了的兔子的胡萝卜。
5,他在看一位正在讲课的老师。,他在看一部正在讲课的老师。,他在看一部正在播放视频的手机。,他在看一位播放视频的手机。,的手机,他在看一部正在讲课的老师的手机。,他在看一位正在讲课的老师的手机。
6,他认识了一名经常旷课的男孩。,他认识了一本经常旷课的男孩。,他认识了一本有历史的书。,他认识了一名有历史的男孩的书。,的书,他认识了一本经常旷课的男孩的书。,他认识了一名经常旷课的男孩的书。
7,有个男人在扫描一篇今早登报了的文章。,有个男人在扫描今早登报了的文章。,有个男人在扫描一张今早登报了的图片。,有个男人在扫描一篇今早登报了的图片。,里的图片,有个男人在扫描一张今早登报了的文章里的图片。,有个男人在扫描一篇今早登报了的文章里的图片。
8,女演员在看一张被洗坏了的旧照片。,女演员在看一位被洗坏了的旧照片。,女演员在看一位教过她的老师。,女演员在看一张教过她的老师。,里的老师,女演员在看一位被洗坏了的旧照片里的老师。,女演员在看一张被洗坏了的旧照片里的老师。
9,他在修理一辆无法启动的汽车。,他在修理一套无法启动的汽车。,他在修理一套无法启动的音响系统。,他在修理一辆无法启动的音响系统。,的音响系统。,他在修理一套无法启动的汽车的音响系统。,他在修理一辆无法启动的汽车的音响系统。
10,学生们在写一部时长约一个小时的电影。,学生们在写一首时长约一个小时的电影。,学生们在写一首时长约一个小时的主题曲。,学生们在写一部时长约一个小时的主题曲。,的主题曲,学生们在写一首时长约一个小时的电影的主题曲。,学生们在写一部时长约一个小时的电影的主题曲。
11,我们在看一场吸引了很多观众的表演。,我们在看一块吸引了很多观众的表演。,我们在看一块吸引了很多观众的场地。,我们在看一场吸引了很多观众的场地。,的场地,我们在看一块吸引了很多观众的表演的场地。,我们在看一场吸引了很多观众的表演的场地。
12,他最喜欢一道让人开胃的菜。,他最喜欢一瓶让人开胃的菜。,他最喜欢一瓶让人开胃的调料。,他最喜欢一道让人开胃的调料。,里的调料,他最喜欢一瓶让人开胃的菜里的调料。,他最喜欢一道让人开胃的菜里的调料。
13,这是一架正在滑翔的飞机。,这是一位正在滑翔的飞机。,这是一位正在跑步的机长。,这是一架正在跑步的机长。,的机长,这是一位正在滑翔的飞机的机长。,这是一架正在滑翔的飞机的机长。
14,学生们在写一部令人感动的戏剧。,学生们在写一篇令人感动的戏剧。,学生们在写一篇令人感动的读后感。,学生们在写一部令人感动的读后感。,的读后感,学生们在写一篇令人感动的戏剧的读后感。,学生们在写一部令人感动的戏剧的读后感。
15,这是一辆停下来的火车。,这是一扇停下来的火车。,这是一扇被打开的窗户。,这是一辆被打开的窗户。,的窗户,这是一扇停下来的火车的窗户。,这是一辆停下来的火车的窗户。
16,老师在责备三名不做功课的学生。,老师在责备三只不做功课的学生。,老师在责备三只不睡觉的宠物。,老师在责备三名不睡觉的宠物。,的宠物,老师在责备三只不做功课的学生的宠物。,老师在责备三名不做功课的学生的宠物。
17,她买过两杯正在打折的咖啡。,她买过两个正在打折的咖啡。,她买过两个正在打折的杯子。,她买过两杯正在打折的杯子。,的杯子,她买过两个正在打折的咖啡的杯子。,她买过两杯正在打折的咖啡的杯子。
18,孩子在卖五台摇摇晃晃的桌子。,孩子在卖五块摇摇晃晃的桌子。,孩子在卖五块有花纹的布。,孩子在卖五台有花纹的布。,的布,孩子在卖五块摇摇晃晃的桌子上的布。,孩子在卖五台摇摇晃晃的桌子上的布。
19,妈妈在做一张不透水的纸。,妈妈在做一个不透水的纸。,妈妈在做一个代表幸运的图案。,妈妈在做一张代表幸运的图案。,上的图案,妈妈在做一个不透水的纸上的图案。,妈妈在做一张不透水的纸上的图案。
20,爸爸买了一栋有院子的房子。,爸爸买了一条有院子的房子。,爸爸买了一条有把手的沙发。,爸爸买了一栋有把手的沙发。,的沙发,爸爸买了一条有院子的房子里的沙发。,爸爸买了一栋有院子的房子里的沙发。
21,我想种一朵能开花的玫瑰。,我想种一颗能开花的玫瑰。,我想种一颗能开花的种子。,我想种一朵能开花的种子。,的种子,我想种一颗会开花的玫瑰的种子。,我想种一朵会开花的玫瑰的种子。
22,弟弟想起了一位关心他人的警官。,弟弟想起了一间关心他人的警官。,弟弟想起了一间装有空调的办公室。,弟弟想起了一位装有空调的办公室。,的办公室,弟弟想起了一间关心他人的警官的办公室。,弟弟想起了一位关心他人的警官的办公室。
23,这是一家卖零食的商店。,这是一扇卖零食的商店。,这是一扇通往院子的大门。,这是一家通往院子的大门。,的大门,这是一扇卖零食的商店的大门。,这是一家卖零食的商店的大门。
24,我拜访了这一所抚育了我的高中。,我拜访了这一位抚育了我的高中。,我拜访了这一位抚育了我的老师。,我拜访了这一所抚育了我的老师。,的老师,我拜访了这一位抚育了我的高中的老师。,我拜访了这一所抚育了我的高中的老师。
25,他在读一条让他开心的评论。,他在读一首让他开心的评论。,他在读一首让他开心的诗。,他在读一条让他开心的诗。,的诗,他在读一首让他开心的评论里的诗。,他在读一条让他开心的评论里的诗。
26,她从来没见过一头喜欢打架的牛。,她从来没见过一双喜欢打架的牛。,她从来没见过一双会发光的眼睛。,她从来没见过一头会发光的眼睛。,的眼睛,她从来没见过一双喜欢打架的牛的眼睛。,她从来没见过一头喜欢打架的牛的眼睛。
27,我还没有检查一份要被上交的作业。,我还没有检查一行要被上交的作业。,我还没有检查一行要被上交的公式。,我还没有检查一份要被上交的公式。,的公式,我还没有检查一行要被上交的作业里的公式。,我还没有检查一份要被上交的作业里的公式。
28,爷爷想起了一场结束了的战争。,爷爷想起了一名结束了的战争。,爷爷想起了一名去世了的士兵。,爷爷想起了一场去世了的士兵。,的士兵,爷爷想起了一名结束了的战争中的士兵。,爷爷想起了一场结束了的战争中的士兵。
29,护士做了一次需要仪器的检查。,护士做了一篇需要仪器的检查。,护士做了一篇需要仪器的报告。,护士做了一次需要仪器的报告。,的报告,护士做了一篇需要仪器的检查的报告。,护士做了一次需要仪器的检查的报告。
30,这里是两台刚被推出的电视机。,这里是两份刚被推出的电视机。,这里是两份刚被派发的订单。,这里是两台刚被派发的订单。,的订单,这里是两份刚被推出的电视机的订单。,这里是两台刚被推出的电视机的订单。
31,我记得一棵长不高的小树。,我记得一片长不高的小树。,我记得一片长不大的叶子。,我记得一棵长不大的叶子。,的叶子,我记得一片长不高的小树的叶子。,我记得一棵长不高的小树的叶子。
32,他很欣赏一个自发形成的组织。,他很欣赏一位自发形成的组织。,他很欣赏一位有见识的领导人。,他很欣赏一个有见识的领导人。,的领导人,他很欣赏一位自发形成的组织的领导人。,他很欣赏一个自发形成的组织的领导人。
33,那里有一支完成任务了的舰队。,那里有一艘完成任务了的舰队。,那里有一艘完成任务了的船。,那里有一支完成任务了的船。,的船,那里有一艘完成任务了的舰队的船。,那里有一支完成任务了的舰队的船。
34,他拍下了一只正在休息的老虎。,他拍下了一颗正在休息的老虎。,他拍下了一颗正在颤抖的牙齿。,他拍下了一只正在颤抖的牙齿。,的牙齿,他拍下了一颗正在休息的老虎的牙齿。,他拍下了一只正在休息的老虎的牙齿。
35,她提到了一座可以容纳很多人的古城堡。,她提到了一面可以容纳很多人的古城堡。,她提到了一面刚被修好的墙。,她提到了一座刚被修好的墙。,的墙,她提到了一面可以容纳很多人的古城堡的墙。,她提到了一座可以容纳很多人的古城堡的墙。
36,她拿了一份被提供给客人的饭。,她拿了一卷被提供给客人的饭。,她拿了一卷被提供给客人的手纸。,她拿了一份被提供给客人的手纸。,里工作的女人的家里,她来到了一名在位于市中心的办公楼里工作的女人的家里。,她来到了一栋在位于市中心的办公楼里工作的女人的家里。
37,我经常去一家有雕塑的医院。,我经常去一座有雕塑的医院。,我经常去一座有雕塑的桥。,我经常去一家有雕塑的桥。,里放的歌中提到的饭店,我经常去一首于提供外币的银行里放的歌中提到的饭店。,我经常去一家于提供外币的银行里放的歌中提到的饭店。
38,奶奶会去拜访两位学物理的老朋友。,奶奶会去拜访两处学物理的老朋友。,奶奶会去拜访两处有悠久历史的古迹。,奶奶会去拜访两位有悠久历史的古迹。,写的书中介绍的医生,奶奶会去拜访在一本学物理的老朋友写的书中介绍的医生。,奶奶会去拜访在一位学物理的老朋友写的书中介绍的医生。
39,他买了一道很多水果的沙拉。,他买了一处有很多水果的沙拉。,他买了一处有很多水果的仓库。,他买了一道有很多水果的仓库。,包装用的布,他买了一匹为有很多水果的礼盒包装用的布。,他买了一个为有很多水果的礼盒包装用的布。
40,孩子听到了一首令他熟悉的歌谣。,孩子听到了一张令他熟悉的歌谣。,孩子听到了一张令他熟悉的专辑。,孩子听到了一首令他熟悉的专辑。,里提到的画中的妈妈的声音,孩子听到了在一张令他熟悉的歌谣里提到的画中的妈妈的声音。,孩子听到了在一首令他熟悉的歌谣里提到的画中的妈妈的声音。