good_sentence,bad_sentence,suite,good_cond,bad_cond,syntaxgym_id,item_id
The window that the boy wiped shattered.,The window that the boy shattered wiped.,center_embed,plaus,implaus,27,1
The bones that the doctor examined broke.,The bones that the doctor broke examined.,center_embed,plaus,implaus,14,2
The shirt that the man bought ripped.,The shirt that the man ripped bought.,center_embed,plaus,implaus,11,3
The bomb that the terrorist built exploded.,The bomb that the terrorist exploded built.,center_embed,plaus,implaus,22,4
The painting that the artist painted deteriorated.,The painting that the artist deteriorated painted.,center_embed,plaus,implaus,1,5
The ship that the workers built sank.,The ship that the workers sank built.,center_embed,plaus,implaus,16,6
The computer that the secretary bought crashed.,The computer that the secretary crashed bought.,center_embed,plaus,implaus,8,7
The storm that the captain feared subsided.,The storm that the captain subsided feared.,center_embed,plaus,implaus,2,8
The horse that the boy rode bucked.,The horse that the boy bucked rode.,center_embed,plaus,implaus,17,9
The soldier that the bullet wounded died.,The soldier that the bullet died wounded.,center_embed,plaus,implaus,5,10
The baby that the woman held yelled.,The baby that the woman yelled held.,center_embed,plaus,implaus,4,11
The yacht that the millionaires bought sank.,The yacht that the millionaires sank bought.,center_embed,plaus,implaus,10,12
The tree that the old man cut fell.,The tree that the old man fell cut.,center_embed,plaus,implaus,19,13
The toilet that the worker fixed clogged.,The toilet that the worker clogged fixed.,center_embed,plaus,implaus,26,14
The child that the shadow frightened yelled.,The child that the shadow yelled frightened.,center_embed,plaus,implaus,28,15
The window that the boy in the blue shirt wiped shattered.,The window that the boy in the blue shirt shattered wiped.,center_embed_mod,plaus,implaus,27,16
The bones that the doctor in the white jacket examined broke.,The bones that the doctor in the white jacket broke examined.,center_embed_mod,plaus,implaus,14,17
The shirt that the man who lives down the block bought ripped.,The shirt that the man who lives down the block ripped bought.,center_embed_mod,plaus,implaus,11,18
The bomb that the terrorist from the foreign country built exploded.,The bomb that the terrorist from the foreign country exploded built.,center_embed_mod,plaus,implaus,22,19
The painting that the artist who lived long ago painted deteriorated.,The painting that the artist who lived long ago deteriorated painted.,center_embed_mod,plaus,implaus,1,20
The ship that the workers in the blue uniforms built sank.,The ship that the workers in the blue uniforms sank built.,center_embed_mod,plaus,implaus,16,21
The computer that the secretary with the blue dress bought crashed.,The computer that the secretary with the blue dress crashed bought.,center_embed_mod,plaus,implaus,8,22
The storm that the captain with the black hair feared subsided.,The storm that the captain with the black hair subsided feared.,center_embed_mod,plaus,implaus,2,23
The horse that the boy from the local town rode bucked.,The horse that the boy from the local town bucked rode.,center_embed_mod,plaus,implaus,17,24
The soldier that the bullet with the exploding tip wounded died.,The soldier that the bullet with the exploding tip died wounded.,center_embed_mod,plaus,implaus,5,25
The baby that the woman waiting in the street held yelled.,The baby that the woman waiting in the street yelled held.,center_embed_mod,plaus,implaus,4,26
The yacht that the millionaires who everyone dislikes bought sank.,The yacht that the millionaires who everyone dislikes sank bought.,center_embed_mod,plaus,implaus,10,27
The tree that the old man from the small town cut fell.,The tree that the old man from the small town fell cut.,center_embed_mod,plaus,implaus,19,28
The toilet that the worker who we all respect fixed clogged.,The toilet that the worker who we all respect clogged fixed.,center_embed_mod,plaus,implaus,26,29
The child that the shadow in the corner of the room frightened yelled.,The child that the shadow in the corner of the room yelled frightened.,center_embed_mod,plaus,implaus,28,30
What she wrote was the contract.,What she did was the contract.,cleft,np_match,np_mismatch,26,31
What the worker did was lock the door.,What the worker installed was lock the door.,cleft,vp_match,vp_mismatch,20,32
What the workers did was pave the sidewalk.,What the workers walked down was pave the sidewalk.,cleft,vp_match,vp_mismatch,10,33
What the people collected was the trash.,What the people did was the trash.,cleft,np_match,np_mismatch,30,34
What the army did was invade the country.,What the army loved was invade the country.,cleft,vp_match,vp_mismatch,17,35
Who he did was hug his friend.,Who he called was hug his friend.,cleft,vp_match,vp_mismatch,33,36
What the worker installed was the door.,What the worker did was the door.,cleft,np_match,np_mismatch,20,37
What the people did was remove the trash.,What the people collected was remove the trash.,cleft,vp_match,vp_mismatch,30,38
What the old man cooked was the chicken.,What the old man did was the chicken.,cleft,np_match,np_mismatch,9,39
What he created was a painting.,What he did was a painting.,cleft,np_match,np_mismatch,37,40
Who the police caught was the suspect.,Who the police did was the suspect.,cleft,np_match,np_mismatch,29,41
What the woman did was mail the letter.,What the woman wrote was mail the letter.,cleft,vp_match,vp_mismatch,38,42
What they did was transport the drugs.,What they bought was transport the drugs.,cleft,vp_match,vp_mismatch,32,43
What he did was paint a painting.,What he created was paint a painting.,cleft,vp_match,vp_mismatch,37,44
What the fans watched was the game.,What the fans did was the game.,cleft,np_match,np_mismatch,6,45
What she wrote after talking to her lawyers about the situation was the contract.,What she did after talking to her lawyers about the situation was the contract.,cleft_modifier,np_match,np_mismatch,26,46
What the worker did after entering the job site was lock the door.,What the worker installed after entering the job site was lock the door.,cleft_modifier,vp_match,vp_mismatch,20,47
What the workers did after they signed a contract with the city government was pave the sidewalk.,What the workers walked down after they signed a contract with the city government was pave the sidewalk.,cleft_modifier,vp_match,vp_mismatch,10,48
What the people collected every Thursday morning before work was the trash.,What the people did every Thursday morning before work was the trash.,cleft_modifier,np_match,np_mismatch,30,49
What the army did after going through basic training and listening to propaganda was invade the country.,What the army loved after going through basic training and listening to propaganda was invade the country.,cleft_modifier,vp_match,vp_mismatch,17,50
Who he did after he found out the horrible news was hug his friend.,Who he called after he found out the horrible news was hug his friend.,cleft_modifier,vp_match,vp_mismatch,33,51
What the worker installed after entering the job site was the door.,What the worker did after entering the job site was the door.,cleft_modifier,np_match,np_mismatch,20,52
What the people did every Thursday morning before work was remove the trash.,What the people collected every Thursday morning before work was remove the trash.,cleft_modifier,vp_match,vp_mismatch,30,53
What the old man cooked after he had walked across the field and the forest was the chicken.,What the old man did after he had walked across the field and the forest was the chicken.,cleft_modifier,np_match,np_mismatch,9,54
What he created in his spare time was a painting.,What he did in his spare time was a painting.,cleft_modifier,np_match,np_mismatch,37,55
Who the police caught between the trial and the sentencing was the suspect.,Who the police did between the trial and the sentencing was the suspect.,cleft_modifier,np_match,np_mismatch,29,56
What the woman did after hearing the troubling news was mail the letter.,What the woman wrote after hearing the troubling news was mail the letter.,cleft_modifier,vp_match,vp_mismatch,38,57
What they did in the middle of the night was transport the drugs.,What they bought in the middle of the night was transport the drugs.,cleft_modifier,vp_match,vp_mismatch,32,58
What he did in his spare time was paint a painting.,What he created in his spare time was paint a painting.,cleft_modifier,vp_match,vp_mismatch,37,59
What the fans watched when their team played against the rival team was the game.,What the fans did when their team played against the rival team was the game.,cleft_modifier,np_match,np_mismatch,6,60
The accountant knew who the security guard believed his friend knew the assistant reported the secretary introduced to her friend.,The accountant knew that the security guard believed his friend knew the assistant reported the secretary introduced to her friend.,fgd-embed3,what_gap,that_gap,2,61
My friends all know that her friend knew the delivery man believed the cop believes the single mother described her woes to her friends.,My friends all know what her friend knew the delivery man believed the cop believes the single mother described her woes to her friends.,fgd-embed3,that_no-gap,what_no-gap,16,62
The visitor said who my friend said her mother knew the minister stated the human resources officer talked with in her office.,The visitor said that my friend said her mother knew the minister stated the human resources officer talked with in her office.,fgd-embed3,what_gap,that_gap,17,63
We all know that my neighbor said her associate knew a mutual friend stated the young professional assembled the bed for his parents.,We all know what my neighbor said her associate knew a mutual friend stated the young professional assembled the bed for his parents.,fgd-embed3,that_no-gap,what_no-gap,14,64
I realized what the painter believed his rival suspected the colonel said the suffering artist saw at the museum.,I realized that the painter believed his rival suspected the colonel said the suffering artist saw at the museum.,fgd-embed3,what_gap,that_gap,12,65
She said what the politician stated his press secretary said the chief of staff thought the reporter put on the table.,She said that the politician stated his press secretary said the chief of staff thought the reporter put on the table.,fgd-embed3,what_gap,that_gap,20,66
I know what our mother said her friend remarked that the park attendant reported your friend threw into the trash can.,I know that our mother said her friend remarked that the park attendant reported your friend threw into the trash can.,fgd-embed3,what_gap,that_gap,1,67
We all know that the old man thinks the woman knows the young boy said the teacher gave a test to her students.,We all know what the old man thinks the woman knows the young boy said the teacher gave a test to her students.,fgd-embed3,that_no-gap,what_no-gap,21,68
The assistant told me what the man knew his friend recalled the woman said the pilot sent to his family.,The assistant told me that the man knew his friend recalled the woman said the pilot sent to his family.,fgd-embed3,what_gap,that_gap,3,69
I know that the secretary said the journalist remarked that the workers decided the business man promised a raise to the factory workers.,I know what the secretary said the journalist remarked that the workers decided the business man promised a raise to the factory workers.,fgd-embed3,that_no-gap,what_no-gap,9,70
We all know what my neighbor said her associate knew a mutual friend stated the young professional assembled for his parents.,We all know that my neighbor said her associate knew a mutual friend stated the young professional assembled for his parents.,fgd-embed3,what_gap,that_gap,14,71
I know that our mother said her friend remarked that the park attendant reported your friend threw the plastic into the trash can.,I know what our mother said her friend remarked that the park attendant reported your friend threw the plastic into the trash can.,fgd-embed3,that_no-gap,what_no-gap,1,72
The accountant knew that the security guard believed his friend knew the assistant reported the secretary introduced the new woman to her friend.,The accountant knew who the security guard believed his friend knew the assistant reported the secretary introduced the new woman to her friend.,fgd-embed3,that_no-gap,what_no-gap,2,73
We discovered what the delivery boy remarked that the worker said that the gardener knew the funny actor told about the woman.,We discovered that the delivery boy remarked that the worker said that the gardener knew the funny actor told about the woman.,fgd-embed3,what_gap,that_gap,4,74
We all know what the accountant said his colleague recalled the partners knew the investor repaid to the criminal kingpin.,We all know that the accountant said his colleague recalled the partners knew the investor repaid to the criminal kingpin.,fgd-embed3,what_gap,that_gap,8,75
The accountant wondered who the security guard believed his friend knew the assistant reported her colleague suspected the secretary introduced to her friend.,The accountant wondered that the security guard believed his friend knew the assistant reported her colleague suspected the secretary introduced to her friend.,fgd-embed4,what_gap,that_gap,2,76
My friends all know that her friend knew the delivery man believed the cop said his partner recalled the single mother described her woes to her friends.,My friends all know what her friend knew the delivery man believed the cop said his partner recalled the single mother described her woes to her friends.,fgd-embed4,that_no-gap,what_no-gap,16,77
The visitor said who my friend said her mother knew the clerk stated his friend saw the human resources officer talked with in her office.,The visitor said that my friend said her mother knew the clerk stated his friend saw the human resources officer talked with in her office.,fgd-embed4,what_gap,that_gap,17,78
We all know that my neighbor said her associate knew a friend thinks her sister believes the young professional assembled the bed for his parents.,We all know what my neighbor said her associate knew a friend thinks her sister believes the young professional assembled the bed for his parents.,fgd-embed4,that_no-gap,what_no-gap,14,79
I realized what the painter believed his rival suspected the man said his friend recalls the suffering artist saw at the museum.,I realized that the painter believed his rival suspected the man said his friend recalls the suffering artist saw at the museum.,fgd-embed4,what_gap,that_gap,12,80
She said what the politician stated his press secretary said the chief of staff thought his assistant suspects the reporter put on the table.,She said that the politician stated his press secretary said the chief of staff thought his assistant suspects the reporter put on the table.,fgd-embed4,what_gap,that_gap,20,81
I know what our mother said her friend remarked that the park attendant reported the cop thinks your friend threw into the trash can.,I know that our mother said her friend remarked that the park attendant reported the cop thinks your friend threw into the trash can.,fgd-embed4,what_gap,that_gap,1,82
We all know that the old man thinks the woman knows the young boy said his friend saw the teacher gave a test to her students.,We all know what the old man thinks the woman knows the young boy said his friend saw the teacher gave a test to her students.,fgd-embed4,that_no-gap,what_no-gap,21,83
The assistant told me what the man knew his friend recalled the woman said her colleague saw the pilot sent to his family.,The assistant told me that the man knew his friend recalled the woman said her colleague saw the pilot sent to his family.,fgd-embed4,what_gap,that_gap,3,84
I know that the secretary said the journalist remarked that the workers said their representatives think the business man promised a raise to the factory workers.,I know what the secretary said the journalist remarked that the workers said their representatives think the business man promised a raise to the factory workers.,fgd-embed4,that_no-gap,what_no-gap,9,85
We all know what my neighbor said her associate knew a friend thinks her sister believes the young professional assembled for his parents.,We all know that my neighbor said her associate knew a friend thinks her sister believes the young professional assembled for his parents.,fgd-embed4,what_gap,that_gap,14,86
I know that our mother said her friend remarked that the park attendant reported the cop thinks your friend threw the plastic into the trash can.,I know what our mother said her friend remarked that the park attendant reported the cop thinks your friend threw the plastic into the trash can.,fgd-embed4,that_no-gap,what_no-gap,1,87
The accountant wondered that the security guard believed his friend knew the assistant reported her colleague suspected the secretary introduced the new woman to her friend.,The accountant wondered who the security guard believed his friend knew the assistant reported her colleague suspected the secretary introduced the new woman to her friend.,fgd-embed4,that_no-gap,what_no-gap,2,88
We discovered what the delivery boy remarked that the worker said that the gardener knew the maid remembers the funny actor told about the woman.,We discovered that the delivery boy remarked that the worker said that the gardener knew the maid remembers the funny actor told about the woman.,fgd-embed4,what_gap,that_gap,4,89
We all know what the accountant said his colleague recalled the partners knew their accountant suspects the investor repaid to the criminal kingpin.,We all know that the accountant said his colleague recalled the partners knew their accountant suspects the investor repaid to the criminal kingpin.,fgd-embed4,what_gap,that_gap,8,90
The fact that the guard knew who the man shot last week worried the spy when he found out.,The fact that the guard knew that the man shot last week worried the spy when he found out.,fgd_hierarchy,what_subjgap,that_subjgap,11,91
The fact that the detective knew that the suspect followed the drug dealer around town surprised his assistant when she found out.,The fact that the detective knew who the suspect followed the drug dealer around town surprised his assistant when she found out.,fgd_hierarchy,that_nogap,what_nogap,21,92
The fact that the cop knows who the criminal shot with a gun pleased the mayor last year.,The fact that the cop knows that the criminal shot with a gun pleased the mayor last year.,fgd_hierarchy,what_subjgap,that_subjgap,2,93
The fact that our mother does not know that her friend trusts her sister with her will surprised us when they found out.,The fact that our mother does not know who her friend trusts her sister with her will surprised us when they found out.,fgd_hierarchy,that_nogap,what_nogap,6,94
The fact that my brother said who his friend trusted at the party surprised my daughter yesterday afternoon.,The fact that my brother said that his friend trusted at the party surprised my daughter yesterday afternoon.,fgd_hierarchy,what_subjgap,that_subjgap,1,95
The fact that the social worker forgot who her client does not like with great passion delighted her friends last week.,The fact that the social worker forgot that her client does not like with great passion delighted her friends last week.,fgd_hierarchy,what_subjgap,that_subjgap,16,96
The fact that the clerk indicated that her colleague recommended the man to the board worried the town clerk last month.,The fact that the clerk indicated who her colleague recommended the man to the board worried the town clerk last month.,fgd_hierarchy,that_nogap,what_nogap,17,97
The fact that the journalist disclosed that the mayor talked with his rival last night shocked the donors when they found out.,The fact that the journalist disclosed who the mayor talked with his rival last night shocked the donors when they found out.,fgd_hierarchy,that_nogap,what_nogap,9,98
The fact that the newspaper stated who the congressman bribed two years ago surprised his daughter when it was published.,The fact that the newspaper stated that the congressman bribed two years ago surprised his daughter when it was published.,fgd_hierarchy,what_subjgap,that_subjgap,13,99
The fact that the cop knows that the criminal shot the old widow with a gun pleased the mayor last year.,The fact that the cop knows who the criminal shot the old widow with a gun pleased the mayor last year.,fgd_hierarchy,that_nogap,what_nogap,2,100
The fact that the real estate agent knew that the old couple saw their friends at the club shocked his friends over the weekend.,The fact that the real estate agent knew who the old couple saw their friends at the club shocked his friends over the weekend.,fgd_hierarchy,that_nogap,what_nogap,4,101
The fact that the assistant signaled who the police observed through a telescope confused the inspectors last month.,The fact that the assistant signaled that the police observed through a telescope confused the inspectors last month.,fgd_hierarchy,what_subjgap,that_subjgap,10,102
The fact that the real estate agent knew who the old couple saw at the club shocked his friends over the weekend.,The fact that the real estate agent knew that the old couple saw at the club shocked his friends over the weekend.,fgd_hierarchy,what_subjgap,that_subjgap,4,103
The fact that the chef knew who his assistant cut by accident surprised the customers yesterday evening.,The fact that the chef knew that his assistant cut by accident surprised the customers yesterday evening.,fgd_hierarchy,what_subjgap,that_subjgap,8,104
The fact that we confirmed who our friend does not like greatly surprised my mother many years ago.,The fact that we confirmed that our friend does not like greatly surprised my mother many years ago.,fgd_hierarchy,what_subjgap,that_subjgap,20,105
The newspaper reported who the suspect killed with a gun in the middle of the night.,The newspaper reported that the suspect killed with a gun in the middle of the night.,fgd_object,what_gap,that_gap,11,106
Our neighbor reminded us that the truck dragged the car out of the swamp last spring.,Our neighbor reminded us what the truck dragged the car out of the swamp last spring.,fgd_object,that_nogap,what_nogap,21,107
My neighbor told me what the dog caught in full view of the neighbors yesterday.,My neighbor told me that the dog caught in full view of the neighbors yesterday.,fgd_object,what_gap,that_gap,2,108
She knows that the collector forged the painting with the help of a new technology a short while ago.,She knows what the collector forged the painting with the help of a new technology a short while ago.,fgd_object,that_nogap,what_nogap,6,109
I know what our uncle grabbed in front of the guests at the holiday party.,I know that our uncle grabbed in front of the guests at the holiday party.,fgd_object,what_gap,that_gap,1,110
My friend remembers what the government collected about foreign threats using illegal methods.,My friend remembers that the government collected about foreign threats using illegal methods.,fgd_object,what_gap,that_gap,16,111
The newspaper said that the neighbors sold a convertible to the new couple last month.,The newspaper said what the neighbors sold a convertible to the new couple last month.,fgd_object,that_nogap,what_nogap,17,112
I do not know that her rival derailed the performance with a cruel plan last week.,I do not know what her rival derailed the performance with a cruel plan last week.,fgd_object,that_nogap,what_nogap,9,113
I remember what the nurse should administer to the sick patient without any delay.,I remember that the nurse should administer to the sick patient without any delay.,fgd_object,what_gap,that_gap,13,114
My neighbor told me that the dog caught the mouse in full view of the neighbors yesterday.,My neighbor told me what the dog caught the mouse in full view of the neighbors yesterday.,fgd_object,that_nogap,what_nogap,2,115
You remember that the businessman showed the presentation to the visitors after lunch.,You remember what the businessman showed the presentation to the visitors after lunch.,fgd_object,that_nogap,what_nogap,4,116
She can guess what the movie star will get for her hard work during the award ceremony.,She can guess that the movie star will get for her hard work during the award ceremony.,fgd_object,what_gap,that_gap,10,117
You remember what the businessman showed to the visitors after lunch.,You remember that the businessman showed to the visitors after lunch.,fgd_object,what_gap,that_gap,4,118
My friend reported what the company will sell to benefit stock holders over the subsequent quarter.,My friend reported that the company will sell to benefit stock holders over the subsequent quarter.,fgd_object,what_gap,that_gap,8,119
She can not believe what my good friend stole from the store when he was young.,She can not believe that my good friend stole from the store when he was young.,fgd_object,what_gap,that_gap,20,120
The newspaper reported what the suspect killed the witness with in the middle of the night.,The newspaper reported that the suspect killed the witness with in the middle of the night.,fgd_pp,what_gap,that_gap,11,121
Our neighbor reminded us that the truck dragged the car out of the swamp last spring.,Our neighbor reminded us what the truck dragged the car out of the swamp last spring.,fgd_pp,that_nogap,what_nogap,21,122
My neighbor told me who the dog caught the mouse in full view of yesterday.,My neighbor told me that the dog caught the mouse in full view of yesterday.,fgd_pp,what_gap,that_gap,2,123
She knows that the collector forged the painting with the help of a new technology a short while ago.,She knows what the collector forged the painting with the help of a new technology a short while ago.,fgd_pp,that_nogap,what_nogap,6,124
I know who our uncle grabbed the food in front of at the holiday party.,I know that our uncle grabbed the food in front of at the holiday party.,fgd_pp,what_gap,that_gap,1,125
My friend remembers what the government collected sensitive data about using illegal methods.,My friend remembers that the government collected sensitive data about using illegal methods.,fgd_pp,what_gap,that_gap,16,126
The newspaper said that the neighbors sold a convertible to the new couple last month.,The newspaper said who the neighbors sold a convertible to the new couple last month.,fgd_pp,that_nogap,what_nogap,17,127
I do not know that her rival derailed the performance with a cruel plan last week.,I do not know what her rival derailed the performance with a cruel plan last week.,fgd_pp,that_nogap,what_nogap,9,128
I remember who the nurse should administer the new medicine to without any delay.,I remember that the nurse should administer the new medicine to without any delay.,fgd_pp,what_gap,that_gap,13,129
My neighbor told me that the dog caught the mouse in full view of the neighbors yesterday.,My neighbor told me who the dog caught the mouse in full view of the neighbors yesterday.,fgd_pp,that_nogap,what_nogap,2,130
You remember that the businessman showed the presentation to the visitors after lunch.,You remember who the businessman showed the presentation to the visitors after lunch.,fgd_pp,that_nogap,what_nogap,4,131
She can guess what the movie star will be awarded a prize for during the award ceremony.,She can guess that the movie star will be awarded a prize for during the award ceremony.,fgd_pp,what_gap,that_gap,10,132
You remember who the businessman showed the presentation to after lunch.,You remember that the businessman showed the presentation to after lunch.,fgd_pp,what_gap,that_gap,4,133
My friend reported who the company will sell multiple assets for over the subsequent quarter.,My friend reported that the company will sell multiple assets for over the subsequent quarter.,fgd_pp,what_gap,that_gap,8,134
She can not believe what my good friend stole a candy bar from when he was young.,She can not believe that my good friend stole a candy bar from when he was young.,fgd_pp,what_gap,that_gap,20,135
The newspaper reported who killed the witness with a gun in the middle of the night.,The newspaper reported that killed the witness with a gun in the middle of the night.,fgd_subject,what_gap,that_gap,11,136
Our neighbor reminded us that the truck dragged the car out of the swamp last spring.,Our neighbor reminded us what the truck dragged the car out of the swamp last spring.,fgd_subject,that_nogap,what_nogap,21,137
My neighbor told me what caught the mouse in full view of the neighbors yesterday.,My neighbor told me that caught the mouse in full view of the neighbors yesterday.,fgd_subject,what_gap,that_gap,2,138
She knows that the collector forged the painting with the help of a new technology a short while ago.,She knows who the collector forged the painting with the help of a new technology a short while ago.,fgd_subject,that_nogap,what_nogap,6,139
I know who grabbed the food in front of the guests at the holiday party.,I know that grabbed the food in front of the guests at the holiday party.,fgd_subject,what_gap,that_gap,1,140
My friend remembers what collected sensitive data about foreign threats using illegal methods.,My friend remembers that collected sensitive data about foreign threats using illegal methods.,fgd_subject,what_gap,that_gap,16,141
The newspaper said that the neighbors sold a convertible to the new couple last month.,The newspaper said who the neighbors sold a convertible to the new couple last month.,fgd_subject,that_nogap,what_nogap,17,142
I do not know that her rival derailed the performance with a cruel plan last week.,I do not know who her rival derailed the performance with a cruel plan last week.,fgd_subject,that_nogap,what_nogap,9,143
I remember who should administer the new medicine to the sick patient without any delay.,I remember that should administer the new medicine to the sick patient without any delay.,fgd_subject,what_gap,that_gap,13,144
My neighbor told me that the dog caught the mouse in full view of the neighbors yesterday.,My neighbor told me what the dog caught the mouse in full view of the neighbors yesterday.,fgd_subject,that_nogap,what_nogap,2,145
You remember that the businessman showed the presentation to the visitors after lunch.,You remember who the businessman showed the presentation to the visitors after lunch.,fgd_subject,that_nogap,what_nogap,4,146
She can guess who will be awarded a prize for her hard work during the award ceremony.,She can guess that will be awarded a prize for her hard work during the award ceremony.,fgd_subject,what_gap,that_gap,10,147
You remember who showed the presentation to the visitors after lunch.,You remember that showed the presentation to the visitors after lunch.,fgd_subject,what_gap,that_gap,4,148
My friend reported what will sell multiple assets to benefit stock holders over the subsequent quarter.,My friend reported that will sell multiple assets to benefit stock holders over the subsequent quarter.,fgd_subject,what_gap,that_gap,8,149
She can not believe who stole a candy bar from the store when he was young.,She can not believe that stole a candy bar from the store when he was young.,fgd_subject,what_gap,that_gap,20,150
The doctors that the guard doubted interest people.,The doctors that the guard doubted interests people.,number_orc,match_plural,mismatch_plural,3,151
The athletes that the doctor admired bring good feelings.,The athletes that the doctor admired brings good feelings.,number_orc,match_plural,mismatch_plural,14,152
The minister that the managers injured knows many people.,The minister that the managers injured know many people.,number_orc,match_sing,mismatch_sing,16,153
The ministers that the manager injured know tennis.,The ministers that the manager injured knows tennis.,number_orc,match_plural,mismatch_plural,16,154
The authors that the senator hurt are good.,The authors that the senator hurt is good.,number_orc,match_plural,mismatch_plural,1,155
The pilots that the teacher injured bring love to people.,The pilots that the teacher injured brings love to people.,number_orc,match_plural,mismatch_plural,2,156
The executive that the teachers disguised is good.,The executive that the teachers disguised are good.,number_orc,match_sing,mismatch_sing,19,157
The teachers that the minister hurt are good.,The teachers that the minister hurt is good.,number_orc,match_plural,mismatch_plural,8,158
The author that the senators hurt is good.,The author that the senators hurt are good.,number_orc,match_sing,mismatch_sing,1,159
The pilot that the teachers injured brings love to people.,The pilot that the teachers injured bring love to people.,number_orc,match_sing,mismatch_sing,2,160
The farmers that the clerk embarrassed know many people.,The farmers that the clerk embarrassed knows many people.,number_orc,match_plural,mismatch_plural,4,161
The senator that the actors injured is good.,The senator that the actors injured are good.,number_orc,match_sing,mismatch_sing,9,162
The guards that the executive embarrassed are playing tennis.,The guards that the executive embarrassed is playing tennis.,number_orc,match_plural,mismatch_plural,11,163
The clerks that the author disguised are good.,The clerks that the author disguised is good.,number_orc,match_plural,mismatch_plural,12,164
The officers that the actor liked are good.,The officers that the actor liked is good.,number_orc,match_plural,mismatch_plural,7,165
The doctors in front of the guard interest people.,The doctors in front of the guard interests people.,number_prep,match_plural,mismatch_plural,3,166
The athletes behind the doctor bring good feelings.,The athletes behind the doctor brings good feelings.,number_prep,match_plural,mismatch_plural,14,167
The minister near the managers knows many people.,The minister near the managers know many people.,number_prep,match_sing,mismatch_sing,16,168
